id,minute,xG,h_a,season,h_team,a_team,date,ScoredEarlier,ScoredPenEarlier,ScoredLater,ScoredPenLater,IsGoal,MyScore,OppScore
328026,70,0.035292599350214005,h,2019,Liverpool,Tottenham,2019-10-27 16:30:00,0,0,0,0,False,1,1
329251,46,0.0714901015162468,a,2019,Aston Villa,Liverpool,2019-11-02 15:00:00,0,0,0,0,False,0,1
329256,62,0.026412799954414368,a,2019,Aston Villa,Liverpool,2019-11-02 15:00:00,0,0,0,0,False,0,1
331554,34,0.10368199646472931,h,2019,Liverpool,Manchester City,2019-11-10 16:30:00,0,0,0,0,False,2,0
331555,37,0.11812199652194977,h,2019,Liverpool,Manchester City,2019-11-10 16:30:00,0,0,0,0,False,2,0
331565,54,0.0292993001639843,h,2019,Liverpool,Manchester City,2019-11-10 16:30:00,0,0,0,0,False,3,0
332262,46,0.014736499637365341,a,2019,Crystal Palace,Liverpool,2019-11-23 15:00:00,0,0,1,0,False,0,0
332271,63,0.020008400082588196,a,2019,Crystal Palace,Liverpool,2019-11-23 15:00:00,0,0,1,0,False,1,0
332272,64,0.3259899914264679,a,2019,Crystal Palace,Liverpool,2019-11-23 15:00:00,0,0,1,0,False,1,0
332279,84,0.6140030026435852,a,2019,Crystal Palace,Liverpool,2019-11-23 15:00:00,0,0,0,0,True,1,1
333644,15,0.0960381031036377,h,2019,Liverpool,Brighton,2019-11-30 15:00:00,0,0,0,0,False,0,0
333646,19,0.11436200141906738,h,2019,Liverpool,Brighton,2019-11-30 15:00:00,0,0,0,0,False,1,0
335678,37,0.06344970315694809,a,2019,Bournemouth,Liverpool,2019-12-07 15:00:00,0,0,0,0,False,1,0
335680,40,0.10159599781036377,a,2019,Bournemouth,Liverpool,2019-12-07 15:00:00,0,0,0,0,False,1,0
335682,45,0.07217899709939957,a,2019,Bournemouth,Liverpool,2019-12-07 15:00:00,0,0,0,0,False,2,0
335683,47,0.04700290039181709,a,2019,Bournemouth,Liverpool,2019-12-07 15:00:00,0,0,0,0,False,2,0
335694,85,0.0656123012304306,a,2019,Bournemouth,Liverpool,2019-12-07 15:00:00,0,0,0,0,False,3,0
336800,62,0.07317429780960083,h,2019,Liverpool,Watford,2019-12-14 12:30:00,0,0,0,0,False,1,0
336805,73,0.14388999342918396,h,2019,Liverpool,Watford,2019-12-14 12:30:00,0,0,0,0,False,1,0
339679,30,0.34544700384140015,a,2019,Leicester,Liverpool,2019-12-26 20:00:00,0,0,1,0,True,0,0
